Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
NBNS,UDP,1,10.0.2.2,137,137,110,0.0,1
NBNS,UDP,1,10.0.2.2,137,137,110,0.04246334506562288,1
ARP,UDP,1,10.0.2.7,0,0,60,0.08479692446823708,1
ARP,UDP,1,10.0.2.5,0,0,42,0.12688079558152865,1
DATA,None,1,10.0.2.7,0,0,1514,0.16762916226683666,1
DATA,None,1,10.0.2.7,0,0,1514,0.20807194556772057,1
DATA,None,1,10.0.2.7,0,0,1514,0.24505840544329102,1
DATA,None,1,10.0.2.7,0,0,1514,0.2829156411099688,1
DATA,None,1,10.0.2.7,0,0,1514,0.3197718638099693,1
DATA,None,1,10.0.2.7,0,0,1514,0.35514481606495246,1
DATA,None,1,10.0.2.7,0,0,1514,0.39035516991020175,1
DATA,None,1,10.0.2.7,0,0,1514,0.4233339780051483,1
DATA,None,1,10.0.2.7,0,0,1514,0.4563327022675393,1
DATA,None,1,10.0.2.7,0,0,1514,0.48524833873314904,1
DATA,None,1,10.0.2.7,0,0,1514,0.5128085964231407,1
DATA,None,1,10.0.2.7,0,0,1514,0.5380798244072851,1
DATA,None,1,10.0.2.7,0,0,1514,0.5637241556848848,1
DATA,None,1,10.0.2.7,0,0,1514,0.5918502668420569,1
DATA,None,1,10.0.2.7,0,0,1514,0.6198280096192318,1
DATA,None,1,10.0.2.7,0,0,1514,0.6438993384031243,1
DATA,None,1,10.0.2.7,0,0,1514,0.6695103790810186,1
DATA,None,1,10.0.2.7,0,0,1514,0.6924119309790948,1
DATA,None,1,10.0.2.7,0,0,1514,0.7156282770253541,1
DATA,None,1,10.0.2.7,0,0,1514,0.7368469703781444,1
DATA,None,1,10.0.2.7,0,0,1514,0.7631528799442894,1
DATA,None,1,10.0.2.7,0,0,1514,0.787074863071285,1
DATA,None,1,10.0.2.7,0,0,1514,0.8136061642531522,1
DATA,None,1,10.0.2.7,0,0,1514,0.8340334944484687,1
DATA,None,1,10.0.2.7,0,0,1514,0.8571380255446016,1
DATA,None,1,10.0.2.7,0,0,1514,0.8803823517882193,1
DATA,None,1,10.0.2.7,0,0,1514,0.9070251292337836,1
DATA,None,1,10.0.2.7,0,0,1514,0.932720165480085,1
DATA,None,1,10.0.2.7,0,0,1514,0.9553947524891331,1
DATA,None,1,10.0.2.7,0,0,1514,0.9782139592001506,1
DATA,None,1,10.0.2.7,0,0,1514,1.000297866491013,1
DATA,None,1,10.0.2.7,0,0,1514,1.026367417825908,1
DATA,None,1,10.0.2.7,0,0,1514,1.0517438817870504,1
DATA,None,1,10.0.2.7,0,0,1514,1.0759791235603864,1
DATA,None,1,10.0.2.7,0,0,1514,1.0973191022199293,1
DATA,None,1,10.0.2.7,0,0,1514,1.120955039348621,1
DATA,None,1,10.0.2.7,0,0,1514,1.146469497863417,1
DATA,None,1,10.0.2.7,0,0,1514,1.167007445005043,1
DATA,None,1,10.0.2.7,0,0,1514,1.1900864447839792,1
DATA,None,1,10.0.2.7,0,0,1514,1.1976630615067254,1
DATA,None,1,10.0.2.7,0,0,1514,1.2152291090939915,1
DATA,None,1,10.0.2.7,0,0,1514,1.2319600497126721,1
DATA,None,1,10.0.2.7,0,0,1514,1.2521193594115343,1
ICMP,None,1,10.0.2.7,0,0,1402,1.2277923418859675,1
DATA,None,1,10.0.2.7,0,0,1514,1.2444060396343821,1
DATA,None,1,10.0.2.7,0,0,1514,1.2664898062527388,1
DATA,None,1,10.0.2.7,0,0,1514,1.2882189612025725,1
DATA,None,1,10.0.2.7,0,0,1514,1.3097302869001124,1
DATA,None,1,10.0.2.7,0,0,1514,1.3305563238877482,1
DATA,None,1,10.0.2.7,0,0,1514,1.3493773620715963,1
DATA,None,1,10.0.2.7,0,0,1514,1.3689840813371321,1
DATA,None,1,10.0.2.7,0,0,1514,1.3863090357961874,1
DATA,None,1,10.0.2.7,0,0,1514,1.4030672560415498,1
DATA,None,1,10.0.2.7,0,0,1514,1.4170647507222782,1
DATA,None,1,10.0.2.7,0,0,1514,1.4333780438522898,1
DATA,None,1,10.0.2.7,0,0,1514,1.449855090325631,1
DATA,None,1,10.0.2.7,0,0,1514,1.4668276609587227,1
DATA,None,1,10.0.2.7,0,0,1514,1.4781817573397509,1
DATA,None,1,10.0.2.7,0,0,1514,1.496377304605065,1
DATA,None,1,10.0.2.7,0,0,1514,1.5081231889965931,1
DATA,None,1,10.0.2.7,0,0,1514,1.523586003231619,1
DATA,None,1,10.0.2.7,0,0,1514,1.5398776993860117,1
DATA,None,1,10.0.2.7,0,0,1514,1.5586763434185753,1
DATA,None,1,10.0.2.7,0,0,1514,1.574911455410457,1
DATA,None,1,10.0.2.7,0,0,1514,1.5868785882615817,1
DATA,None,1,10.0.2.7,0,0,1514,1.602441259859005,1
DATA,None,1,10.0.2.7,0,0,1514,1.6157822227395833,1
DATA,None,1,10.0.2.7,0,0,1514,1.6268922702563369,1
DATA,None,1,10.0.2.7,0,0,1514,1.6436707147930845,1
DATA,None,1,10.0.2.7,0,0,1514,1.661495570816684,1
DATA,None,1,10.0.2.7,0,0,1514,1.6776537865134296,1
